official_symbol,aka
GLI4,HKR4
GLI4,ZNF928
GLIS2,NKL
GLIS2,NPHP7
GLIS3,NDH
GLIS3,ZNF515
GLMP,NCU-G1
GLMP,C1orf85
GLYR1,NP60
GLYR1,hNDF
GLYR1,BM045
GLYR1,HIBDL
GLYR1,N-PAC
GMEB1,PIF96
GMEB1,P96PIF
GMEB2,PIF79
GMEB2,GMEB-2
GMEB2,P79PIF
GPBP1,GPBP
GPBP1,SSH6
GPBP1,VASCULIN
GPBP1L1,SP192
GRHL1,MGR
GRHL1,NH32
GRHL1,LBP32
GRHL1,TFCP2L2
GRHL2,BOM
GRHL2,ECTDS
GRHL2,PPCD4
GRHL2,DFNA28
GRHL2,TFCP2L3
GRHL3,SOM
GRHL3,VWS2
GRHL3,TFCP2L4
GSC,SAMS
GSC2,GSCL
GSX1,GSH1
GSX1,Gsh-1
GSX2,GSH2
GSX2,DMJDS2
GTF2B,TF2B
GTF2B,TFIIB
GTF2I,WBS
GTF2I,DIWS
GTF2I,SPIN
GTF2I,IB291
GTF2I,BAP135
GTF2I,BTKAP1
GTF2I,TFII-I
GTF2I,WBSCR6
GTF2I,GTFII-I
GTF2IRD1,BEN
GTF2IRD1,WBS
GTF2IRD1,GTF3
GTF2IRD1,RBAP2
GTF2IRD1,CREAM1
GTF2IRD1,MUSTRD1
GTF2IRD1,WBSCR11
GTF2IRD1,WBSCR12
GTF2IRD1,hMusTRD1alpha1
GTF2IRD2,FP630
GTF2IRD2,GTF2IRD2A
GTF2IRD2,GTF2IRD2 alpha
GTF2IRD2B,GTF2IRD2
GTF2IRD2B,GTF2IRD2A
GTF3A,AP2
GTF3A,TFIIIA
GZF1,JLSM
GZF1,ZBTB23
GZF1,ZNF336
HAND1,Hxt
HAND1,eHand
HAND1,Thing1
HAND1,bHLHa27
HAND2,Hed
HAND2,dHand
HAND2,DHAND2
HAND2,Thing2
HAND2,bHLHa26
HDX,CXorf43
HDX,D030011N01Rik
HELT,Mgn
HELT,HESL
HELT,HCM1228
HELT,bHLHb44
HES1,HHL
HES1,HRY
HES1,HES-1
HES1,bHLHb39
HES2,bHLHb40
HES3,bHLHb43
HES4,bHLHb42
HES5,bHLHb38
HES6,HES-6
HES6,bHLHb41
HES6,bHLHc23
HES6,C-HAIRY1
HES7,SCDO4
HES7,bHLHb37
HESX1,ANF
HESX1,RPX
HESX1,CPHD5
HEY1,CHF2
HEY1,OAF1
HEY1,HERP2
HEY1,HESR1
HEY1,HRT-1
HEY1,NERP2
HEY1,hHRT1
HEY1,BHLHb31
HEY2,GRL
HEY2,CHF1
HEY2,HRT2
HEY2,HERP1
HEY2,HESR2
HEY2,bHLHb32
HEY2,GRIDLOCK
HEYL,HEY3
HEYL,HRT3
HEYL,HESR3
HEYL,bHLHb33
HHEX,HEX
HHEX,PRH
HHEX,HMPH
HHEX,PRHX
HHEX,HOX11L-PEN
HIC1,hic-1
HIC1,ZBTB29
HIC1,ZNF901
HIC2,HRG22
HIC2,ZBTB30
HIC2,ZNF907
HIF1A,HIF1
HIF1A,MOP1
HIF1A,PASD8
HIF1A,HIF-1A
HIF1A,bHLHe78
HIF1A,HIF-1alpha
HIF1A,HIF1-ALPHA
HIF1A,HIF-1-alpha
HIF3A,IPAS
HIF3A,MOP7
HIF3A,PASD7
HIF3A,HIF-3A
HIF3A,bHLHe17
HIF3A,HIF3-alpha-1
HINFP,MIZF
HINFP,HiNF-P
HINFP,ZNF743
HIVEP1,GAAP
HIVEP1,ZAS1
HIVEP1,CIRIP
HIVEP1,MBP-1
HIVEP1,ZNF40
HIVEP1,CRYBP1
HIVEP1,ZNF40A
HIVEP1,PRDII-BF1
HIVEP1,Schnurri-1
HIVEP2,SHN2
HIVEP2,ZAS2
HIVEP2,MBP-2
HIVEP2,MIBP1
HIVEP2,MRD43
HIVEP2,ZNF40B
HIVEP2,HIV-EP2
HIVEP3,KRC
HIVEP3,KBP1
HIVEP3,SHN3
HIVEP3,ZAS3
HIVEP3,KBP-1
HIVEP3,ZNF40C
HIVEP3,Schnurri-3
HLX,HB24
HLX,HLX1
HMBOX1,HOT1
HMBOX1,TAH1
HMBOX1,PBHNF
HMBOX1,HNF1LA
HMG20A,HMGX1
HMG20A,HMGXB1
HMG20B,SOXL
HMG20B,HMGX2
HMG20B,BRAF25
HMG20B,BRAF35
HMG20B,HMGXB2
HMG20B,PP7706
HMG20B,pp8857
HMG20B,SMARCE1r
HMGA1,HMG-R
HMGA1,HMGIY
HMGA1,HMGA1A
HMGA2,BABL
HMGA2,LIPO
HMGA2,SRS5
HMGA2,HMGIC
HMGA2,HMGI-C
HMGA2,STQTL9
HMGN3,TRIP7
HMGN3,PNAS-24
HMGN3,PNAS-25
HMX1,H6
HMX1,NKX5-3
HMX2,H6L
HMX2,Nkx5-2
HMX3,NKX5.1
HMX3,Nkx5-1
HMX3,NKX-5.1
HNF1A,HNF1
HNF1A,LFB1
HNF1A,TCF1
HNF1A,HNF4A
HNF1A,MODY3
HNF1A,TCF-1
HNF1A,HNF-1A
HNF1A,IDDM20
HNF1A,HNF1alpha
HNF1B,T2D
HNF1B,FJHN
HNF1B,HNF2
HNF1B,LFB3
HNF1B,RCAD
HNF1B,TCF2
HNF1B,HPC11
HNF1B,LF-B3
HNF1B,MODY5
HNF1B,TCF-2
HNF1B,VHNF1
HNF1B,ADTKD3
HNF1B,HNF-1B
HNF1B,HNF1beta
HNF1B,HNF-1-beta
HNF4A,TCF
HNF4A,HNF4
HNF4A,MODY
HNF4A,FRTS4
HNF4A,MODY1
HNF4A,NR2A1
HNF4A,TCF14
HNF4A,HNF4a7
HNF4A,HNF4a8
HNF4A,HNF4a9
HNF4A,NR2A21
HNF4A,TCF-14
HNF4A,HNF4alpha
HNF4G,NR2A2
HNF4G,NR2A3
HOMEZ,KIAA1443
HOXA1,BSAS
HOXA1,HOX1
HOXA1,HOX1F
HOXA2,HOX1K
HOXA2,MCOHI
HOXA3,HOX1
HOXA3,HOX1E
HOXA4,HOX1
HOXA4,HOX1D
HOXA5,HOX1
HOXA5,HOX1C
HOXA5,HOX1.3
HOXA6,HOX1
HOXA6,HOX1B
HOXA6,HOX1.2
HOXA7,ANTP
HOXA7,HOX1
HOXA7,HOX1A
HOXA7,HOX1.1
HOXA9,HOX1
HOXA9,ABD-B
HOXA9,HOX1G
HOXA9,HOX1.7
HOXA10,PL
HOXA10,HOX1
HOXA10,HOX1H
HOXA10,HOX1.8
HOXA11,HOX1
HOXA11,HOX1I
HOXA11,RUSAT1
HOXA13,HOX1
HOXA13,HOX1J
HOXB1,HOX2
HOXB1,HCFP3
HOXB1,HOX2I
HOXB1,Hox-2.9
HOXB2,K8
HOXB2,HOX2
HOXB2,HOX2H
HOXB2,Hox-2.8
HOXB3,HOX2
HOXB3,HOX2G
HOXB3,Hox-2.7
HOXB4,HOX2
HOXB4,HOX2F
HOXB4,HOX-2.6
HOXB5,HOX2
HOXB5,HU-1
HOXB5,HOX2A
HOXB5,Hox2.1
HOXB5,HHO.C10
HOXB6,HOX2
HOXB6,HU-2
HOXB6,HOX2B
HOXB6,Hox-2.2
HOXB7,HOX2
HOXB7,HOX2C
HOXB7,HHO.C1
HOXB7,Hox-2.3
HOXB8,HOX2
HOXB8,HOX2D
HOXB8,Hox-2.4
HOXB9,HOX2
HOXB9,HOX2E
HOXB9,HOX-2.5
HOXB13,HPC9
HOXB13,PSGD
HOXC4,HOX3
HOXC4,cp19
HOXC4,HOX3E
HOXC5,CP11
HOXC5,HOX3
HOXC5,HOX3D
HOXC6,CP25
HOXC6,HOX3
HOXC6,HOX3C
HOXC6,HHO.C8
HOXC8,HOX3
HOXC8,HOX3A
HOXC9,HOX3
HOXC9,HOX3B
HOXC10,HOX3I
HOXC11,HOX3H
HOXC12,HOX3
HOXC12,HOC3F
HOXC12,HOX3F
HOXC13,HOX3
HOXC13,ECTD9
HOXC13,HOX3G
